id,time,x,y
1,623652,848,0
1,624460,808,0
1,625240,780,0
1,626060,820,0
1,626860,800,0
1,627728,868,0
1,628588,860,0
1,629440,852,0
1,630264,824,0
1,631068,804,0
1,631876,808,0
1,632668,792,0
1,633424,756,0
1,634168,744,0
1,634908,740,0
1,635648,740,0
1,636376,728,0
1,637108,732,0
1,637844,736,0
1,638588,744,0
1,639316,728,0
1,640048,732,0
1,640780,732,0
1,641520,740,0
1,642252,732,0
1,642984,732,0
1,643708,724,0
1,644424,716,0
1,645144,720,0
1,645868,724,0
1,646592,724,0
1,647312,720,0
1,648020,708,0
1,648716,696,0
1,649400,684,0
1,650084,684,0
1,650756,672,0
1,651408,652,0
1,652056,648,0
1,652720,664,0
1,653388,668,0
1,654072,684,0
1,654764,692,0
1,655432,668,0
1,656120,688,0
1,656832,712,0
1,657544,712,0
1,658240,696,0
1,658932,692,0
1,659632,700,0
1,660352,720,0
1,661152,800,0
1,661948,796,0
1,662748,800,0
1,663536,788,0
1,664312,776,0
1,665084,772,0
1,665836,752,0
1,666544,708,0
1,667256,712,0
1,667972,716,0
1,668708,736,0
1,669432,724,0
1,670160,728,0
1,670912,752,0
1,671648,736,0
1,672352,704,0
1,673080,728,0
1,673820,740,0
1,674516,696,0
1,675220,704,0
1,675932,712,0
1,676664,732,0
1,677400,736,0
1,678088,688,0
1,678804,716,0
1,679512,708,0
1,680204,692,0
1,680884,680,0
1,681588,704,0
1,682296,708,0
1,683008,712,0
1,683716,708,0
1,684412,696,0
1,685120,708,0
1,685816,696,0
1,686512,696,0
1,687188,676,0
1,687864,676,0
1,688552,688,0
1,689240,688,0
1,689932,692,0
1,690624,692,0
1,691292,668,0
1,691964,672,0
1,692640,676,0
1,693332,692,0
1,694032,700,0
1,694720,688,0
1,695388,668,0
1,696052,664,0
1,696724,672,0
1,697392,668,0
1,698052,660,0
1,698704,652,0
1,699360,656,0
1,700020,660,0
1,700676,656,0
1,701332,656,0
1,701984,652,0
1,702652,668,0
1,703316,664,0
1,703980,664,0
1,704632,652,0
1,705284,652,0
1,705952,668,0
1,706628,676,0
1,707300,672,0
1,707968,668,0
1,708636,668,0
1,709312,676,0
1,709992,680,0
1,710664,672,0
1,711332,668,0
1,712004,672,0
1,712680,676,0
1,713356,676,0
1,714020,664,0
1,714692,672,0
1,715364,672,0
1,716036,672,0
1,716696,660,0
1,717368,672,0
1,718040,672,0
1,718732,692,0
1,719424,692,0
1,720116,692,0
1,720836,720,0
1,721552,716,0
1,722252,700,0
1,722976,724,0
1,723716,740,0
1,724472,756,0
1,725248,776,0
1,725960,712,0
1,726648,688,0
1,727344,696,0
1,728060,716,0
1,728772,712,0
1,729468,696,0
1,730196,728,0
1,730956,760,0
1,731696,740,0
1,732432,736,0
1,733176,744,0
1,733928,752,0
1,734628,700,0
1,735368,740,0
1,736132,764,0
1,736840,708,0
1,737556,716,0
1,738260,704,0
1,738960,700,0
1,739664,704,0
1,740344,680,0
1,741040,696,0
1,741752,712,0
1,742456,704,0
1,743152,696,0
1,743876,724,0
1,744620,744,0
1,745348,728,0
1,746060,712,0
1,746784,724,0
1,747500,716,0
1,748208,708,0
1,748920,712,0
1,749644,724,0
1,750344,700,0
1,751052,708,0
1,751760,708,0
1,752464,704,0
1,753192,728,0
1,753908,716,0
1,754608,700,0
1,755296,688,0
1,755988,692,0
1,756684,696,0
1,757368,684,0
1,758048,680,0
1,758740,692,0
1,759444,704,0
1,760164,720,0
1,760900,736,0
1,761596,696,0
1,762284,688,0
1,762984,700,0
1,763672,688,0
1,764336,664,0
1,765016,680,0
1,765696,680,0
1,766392,696,0
1,767072,680,0
1,767752,680,0
1,768436,684,0
1,769120,684,0
1,769792,672,0
1,770464,672,0
1,771144,680,0
1,771848,704,0
1,772580,732,0
1,773276,696,0
1,773972,696,0
1,774680,708,0
1,775392,712,0
1,776100,708,0
1,776784,684,0
1,777464,680,0
1,778136,672,0
1,778800,664,0
1,779452,652,0
1,780124,672,0
1,780792,668,0
1,781452,660,0
1,782124,672,0
1,782792,668,0
1,783452,660,0
1,784120,668,0
1,784788,668,0
1,785468,680,0
1,786144,676,0
1,786812,668,0
1,787488,676,0
1,788160,672,0
1,788832,672,0
1,789504,672,0
1,790164,660,0
1,790816,652,0
1,791460,644,0
1,792100,640,0
1,792744,644,0
1,793388,644,0
1,794028,640,0
1,794664,636,0
1,795296,632,0
1,795948,652,0
1,796604,656,0
1,797244,640,0
1,797880,636,0
1,798524,644,0
1,799172,648,0
1,799820,648,0
1,800468,648,0
1,801128,660,0
1,801780,652,0
1,802428,648,0
1,803072,644,0
1,803712,640,0
1,804356,644,0
1,805012,656,0
1,805676,664,0
1,806340,664,0
1,807008,668,0
1,807688,680,0
1,808368,680,0
1,809024,656,0
1,809684,660,0
1,810348,664,0
1,811028,680,0
1,811728,700,0
1,812424,696,0
1,813112,688,0
1,813788,676,0
1,814492,704,0
1,815208,716,0
1,815916,708,0
1,816660,744,0
1,817388,728,0
1,818108,720,0
1,818824,716,0
1,819548,724,0
1,820284,736,0
