id,time,x,y
4,0,788,0
4,808,808,0
4,1588,780,0
4,2404,816,0
4,3192,788,1
4,3976,784,1
4,4776,800,1
4,5556,780,1
4,6352,796,1
4,7184,832,1
4,7908,724,1
4,8700,792,1
4,9464,764,1
4,10244,780,1
4,11024,780,1
4,11784,760,1
4,12580,796,1
4,13360,780,1
4,14196,836,1
4,14936,740,1
4,15708,772,1
4,16492,784,1
4,17272,780,1
4,18036,764,1
4,18824,788,0
4,19584,760,0
4,20352,768,0
4,21120,768,0
4,21876,756,0
4,22676,800,0
4,23456,780,0
4,24228,772,0
4,25024,796,0
4,25796,772,0
4,26592,796,0
4,27388,796,0
4,28164,776,0
4,28968,804,0
4,29744,776,0
4,30532,788,0
4,31304,772,0
4,32076,772,0
4,32868,792,0
4,33640,772,0
4,34408,768,0
4,35196,788,0
4,35964,768,0
4,36744,780,0
4,37516,772,0
4,38284,768,1
4,39076,792,1
4,39856,780,1
4,40644,788,1
4,41432,788,1
4,42248,816,1
4,42992,744,1
4,43760,768,1
4,44540,780,1
4,45320,780,0
4,46080,760,0
4,46860,780,0
4,47632,772,0
4,48396,764,0
4,49188,792,0
4,49952,764,0
4,50740,788,0
4,51508,768,0
4,52268,760,0
4,53056,788,1
4,53828,772,1
4,54620,792,1
4,55392,772,1
4,56208,816,1
4,56932,724,1
4,57696,764,1
4,58436,740,1
4,59184,748,1
4,59944,760,1
4,60704,760,0
4,61472,768,0
4,62228,756,0
4,63008,780,0
4,63800,792,0
4,64580,780,0
4,65420,840,0
4,66208,788,0
4,67000,792,0
4,67808,808,0
4,68588,780,0
4,69404,816,0
4,70192,788,0
4,70972,780,0
4,71768,796,0
4,72544,776,0
4,73388,844,0
4,74192,804,0
4,74988,796,0
4,75796,808,0
4,76572,776,0
4,77388,816,0
4,78184,796,0
4,78976,792,0
4,79788,812,0
4,80588,800,0
4,81428,840,0
4,82236,808,0
4,83048,812,0
4,83852,804,0
4,84648,796,0
4,85448,800,0
4,86228,780,0
4,87040,812,0
4,87844,804,0
4,88656,812,0
4,89484,828,0
4,90280,796,0
4,91108,828,0
4,91920,812,0
4,92736,816,0
4,93564,828,0
4,94356,792,0
4,95160,804,0
4,95936,776,0
4,96728,792,0
4,97520,792,0
4,98300,780,0
4,99112,812,0
4,99904,792,0
4,100704,800,0
4,101512,808,0
4,102296,784,0
4,103112,816,0
4,103912,800,0
4,104696,784,0
4,105488,792,0
