Id,Price
4567,160440.38315099964
5925,128477.62362902789
960,146314.91931731763
3848,99445.02361125805
746,201169.24066765566
868,353815.94777356373
672,118477.03324300911
2471,204911.42011417678
4510,131459.44974078244
8354,250064.63549469996
6393,173682.09983385168
13270,237544.8974588055
5250,252279.92463553124
16751,171225.0401189239
11404,134111.71658401907
10588,301989.53016400547
14925,209727.74526066938
6791,222183.74154454673
16097,219978.08263396562
16428,378968.1741023504
6945,325790.398930775
3190,189651.54824610744
15709,430307.8904695576
13155,152689.25571921872
7675,206046.22921330953
14686,237460.45007158452
609,147531.7567577113
11155,135922.00399720806
10869,194884.64453188627
15742,182641.50851476833
9245,196712.83611379858
3340,187646.18444627116
2359,284881.06726262864
8070,222610.56095984796
13707,131039.0487189026
16079,270502.1861863214
15937,269524.1753827795
14090,179862.21311134307
9008,214473.69694543447
16384,172785.38175027948
11657,236940.8594380634
13151,128522.07087606868
8990,172635.48496003466
11857,179954.74407691357
1565,158887.652426349
8174,98688.64184214576
9247,230444.77031388695
10478,226890.97005573535
15509,143025.1156232762
8306,185835.87128762703
6642,186369.37275170156
7472,227129.59857678157
15989,133939.1012711971
13682,125469.4368486404
163,305221.8520599931
7076,190221.0709653111
7478,360704.5430481244
3029,187807.93599264737
1814,137318.51164587645
10057,128928.598951244
15100,189140.71870913764
12694,208783.41925963308
6291,189894.40601629077
12603,165971.71658835502
3218,243193.817653319
13456,128580.34904519827
10170,263909.1145880832
4530,168045.11676223556
13329,160066.35820804554
4820,157303.32180552484
10896,173426.8773531222
13416,122572.41298196017
2701,225926.11452213087
11265,361372.10353129543
9189,285035.9945913896
1858,196117.1182464743
14536,246771.67998375813
6199,290746.1655261325
14730,147077.83420497327
7510,263689.1992143263
15505,154735.93450800923
7446,213217.47954913866
14016,159810.143234469
14113,121368.43762164762
8721,272667.1630248882
6193,291446.18457895936
5717,173879.32922319198
5427,341827.97259555315
9520,546451.9588850095
6869,99691.12183292049
1658,158046.17982006358
6639,219156.9059380215
6283,196046.88510200425
6257,126688.77396041593
15235,197046.3972985369
902,224688.07044915808
8932,187087.11779077546
16469,371575.611773909
2825,278980.7091739244
6450,447103.4284313787
11366,173752.61134159577
3801,319499.7335771379
11385,214022.91138326906
1079,186400.98470221338
3202,228174.98539172078
676,218744.47482085234
6185,283079.5921783457
7730,160847.41061541025
2573,181444.71341744694
10978,209270.61868556027
10962,266388.1728619295
8870,196551.97158462292
8496,179263.5289065338
5517,154410.42906800623
927,182646.26246102375
13675,200726.6510246506
1499,218513.22937712827
15536,330397.31650071533
8602,331298.84655361576
12137,464427.6694602685
9865,249519.81517081382
16353,276330.0780239301
15908,216501.91591128887
3944,182440.47797003336
10359,202436.26015656127
15158,223339.58176600086
3259,243639.88993864701
7220,328271.45227968995
13843,212160.68701280764
16736,187493.144147703
702,251063.78805316088
16401,215338.3389639446
12134,187862.2290119238
6918,222326.16643342105
11792,126767.24062439005
3798,115024.84045591339
10395,134745.84331732377
11099,136413.84570736802
7090,204807.14477009178
11260,192714.02423088945
9647,219330.6307985798
2903,387689.5692900339
2071,182812.76276463296
8604,180534.55408262904
9346,228945.1190024491
3945,208903.0540024654
3420,114682.2475276855
10842,127377.2171360678
725,156798.13460466976
13931,187509.17043846534
16330,229829.18945990087
9066,426285.81968912337
3326,292831.97488959273
1556,289169.33195723186
6579,104469.03657042763
13877,136477.74663727338
9857,348564.6952915583
7302,258155.53695436227
5684,193691.0562041045
6513,239835.78892909587
11342,112522.8246557487
16561,232688.7636741886
6885,173015.33813540929
9308,178714.87763674627
2559,178425.91991702328
6648,179444.31018999693
15260,175309.82970660873
5113,185011.08903390763
16492,187087.11664756841
12034,284501.52231321804
7248,215138.2518492825
2171,216980.62914055868
10594,168154.2122310415
13241,198603.0408298036
7032,140130.36731113636
4884,168206.92254646725
903,235701.29048216177
162,179887.81157580524
6566,260782.70554031723
8249,133827.00799897645
13106,184038.231920508
256,128982.4298156037
7976,163437.00610580904
8575,161908.35428095382
